customerID,gender,SeniorCitizen,Partner,Dependents,zip,Country
"0002-ORFBO","Female","No","Yes","Yes","77449","US"
"0003-MKNFE","Male","No","No","No","77494","US"
"0004-TLHLJ","Male","No","No","No","11368","US"
"0011-IGKFF","Male","Yes","Yes","No","79936","US"
"0013-EXCHZ","Female","Yes","Yes","No","90011","US"
"0013-MHZWF","Female","No","No","Yes","60629","US"
"0013-SMEOE","Female","Yes","Yes","No","75034","US"
"0014-BMAQU","Male","No","Yes","No","11385","US"
"0015-UOCOJ","Female","Yes","No","No","77084","US"
"0016-QLJIS","Female","No","Yes","Yes","91331","US"
"0017-DINOC","Male","No","No","No","90650","US"
"0017-IUDMW","Female","No","Yes","Yes","75070","US"
"0018-NYROU","Female","No","Yes","No","11211","US"
"0019-EFAEP","Female","No","No","No","08701","US"
"0019-GFNTW","Female","No","No","No","90201","US"
"0020-INWCK","Female","No","Yes","Yes","11208","US"
"0020-JDNXP","Female","No","Yes","Yes","10467","US"
"0021-IKXGC","Female","Yes","No","No","11236","US"
"0022-TCJCI","Male","Yes","No","No","11226","US"
"0023-HGHWL","Male","Yes","No","No","90044","US"
"0023-UYUPN","Female","Yes","Yes","No","92335","US"
"0023-XUOPT","Female","No","Yes","No","92336","US"
"0027-KWYKW","Female","No","Yes","Yes","37013","US"
"0030-FNXPP","Female","No","No","No","94565","US"
"0031-PVLZI","Female","No","Yes","Yes","90250","US"
"0032-PGELS","Female","No","Yes","Yes","90805","US"
"0036-IHMOT","Female","No","Yes","Yes","92503","US"
"0040-HALCW","Male","No","Yes","Yes","75052","US"
"0042-JVWOJ","Male","No","No","No","60618","US"
"0042-RLHYP","Female","No","Yes","Yes","90280","US"
"0048-LUMLS","Male","No","Yes","Yes","91342","US"
"0048-PIHNL","Female","No","Yes","No","11373","US"
"0052-DCKON","Male","No","Yes","No","77479","US"
"0052-YNYOT","Female","No","No","No","11234","US"
"0056-EPFBG","Male","No","Yes","Yes","11220","US"
"0057-QBUQH","Female","No","No","Yes","10456","US"
"0058-EVZWM","Female","No","Yes","No","11214","US"
