customerID,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Churn
"0002-ORFBO",9,"Yes","No","DSL","No","Yes","No","Yes","Yes","No","One year","Yes","Mailed check","No"
"0003-MKNFE",9,"Yes","Yes","DSL","No","No","No","No","No","Yes","Month-to-month","No","Mailed check","No"
"0004-TLHLJ",4,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Electronic check","Yes"
"0011-IGKFF",13,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check","Yes"
"0013-EXCHZ",3,"Yes","No","Fiber optic","No","No","No","Yes","Yes","No","Month-to-month","Yes","Mailed check","Yes"
"0013-MHZWF",9,"Yes","No","DSL","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Credit card (automatic)","No"
"0013-SMEOE",71,"Yes","No","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)","No"
"0014-BMAQU",63,"Yes","Yes","Fiber optic","Yes","No","No","Yes","No","No","Two year","Yes","Credit card (automatic)","No"
"0015-UOCOJ",7,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Electronic check","No"
"0016-QLJIS",65,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Mailed check","No"
"0017-DINOC",54,"No","No phone service","DSL","Yes","No","No","Yes","Yes","No","Two year","No","Credit card (automatic)","No"
"0017-IUDMW",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)","No"
"0018-NYROU",5,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check","No"
"0019-EFAEP",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","No","Two year","Yes","Bank transfer (automatic)","No"
"0019-GFNTW",56,"No","No phone service","DSL","Yes","Yes","Yes","Yes","No","No","Two year","No","Bank transfer (automatic)","No"
"0020-INWCK",71,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","Yes","Two year","Yes","Credit card (automatic)","No"
"0020-JDNXP",34,"No","No phone service","DSL","Yes","No","Yes","Yes","Yes","Yes","One year","No","Mailed check","No"
"0021-IKXGC",1,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check","No"
"0022-TCJCI",45,"Yes","No","DSL","Yes","No","Yes","No","No","Yes","One year","No","Credit card (automatic)","Yes"
"0023-HGHWL",1,"No","No phone service","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check","Yes"
"0023-UYUPN",50,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Electronic check","No"
"0023-XUOPT",13,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","No","Month-to-month","No","Electronic check","Yes"
"0027-KWYKW",23,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check","No"
"0030-FNXPP",3,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check","No"
"0031-PVLZI",4,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check","Yes"
"0032-PGELS",1,"No","No phone service","DSL","Yes","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)","Yes"
"0036-IHMOT",55,"Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Bank transfer (automatic)","No"
"0040-HALCW",54,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)","No"
"0042-JVWOJ",26,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Bank transfer (automatic)","No"
"0042-RLHYP",69,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)","No"
"0048-LUMLS",37,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","One year","No","Credit card (automatic)","No"
"0048-PIHNL",49,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Bank transfer (automatic)","No"
"0052-DCKON",66,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","One year","No","Bank transfer (automatic)","No"
"0052-YNYOT",67,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Electronic check","No"
"0056-EPFBG",20,"No","No phone service","DSL","Yes","No","Yes","Yes","No","No","Two year","Yes","Credit card (automatic)","No"
